"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.07.28 5:00 PM GMT","Autódromo José Carlos Pace - Grand Prix","VRS GT Endurance Series","2019","3","N/A","7","2717",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"28","73","Audi R8 LMS","59","GT3 Class","-130063","-130063","FRG90 Motorsports","28","29","0","Running","-18 L","0","","1:33.412","1:31.796","36","99","17","64","0","0","","","","","","","","","VRS GT Endurance Series","100","0","64"
"28","73","Audi R8 LMS","59","GT3 Class","-130063","292370","Gustavo Parreira","28","29","0","Running","-","0","","1:33.418","1:31.796","36","46","5","64","0","2","45","Brazil","3165","3150","20","499","20","499","VRS GT Endurance Series","100","0","64"
"28","73","Audi R8 LMS","59","GT3 Class","-130063","296688","Luan Vinícius de Sousa","28","29","0","Running","-","0","","1:33.407","1:31.965","5","53","12","64","0","2","45","Brazil","3091","3074","18","208","18","241","VRS GT Endurance Series","100","0","64"
"29","73","Audi R8 LMS","59","GT3 Class","-129809","-129809","Manzo Racing Team GT3","4","4","29","Disqualified","-21 L","0","","1:32.972","1:31.791","23","96","25","60","0","0","","","","","","","","","VRS GT Endurance Series","100","0","60"
"29","73","Audi R8 LMS","59","GT3 Class","-129809","365225","Paolo Poggi","4","4","29","Disqualified","-","0","","1:33.066","1:32.133","79","44","7","60","0","3","41","Italy","2622","2602","18","222","18","258","VRS GT Endurance Series","100","0","60"
"29","73","Audi R8 LMS","59","GT3 Class","-129809","369995","Alessandro Bico","4","4","29","Disqualified","-","0","","1:32.892","1:31.791","23","52","18","60","0","1","41","Italy","4276","4253","13","194","14","266","VRS GT Endurance Series","100","0","60"
"30","72","Mercedes AMG GT3","59","GT3 Class","-124965","-124965","FrT project","34","92","29","Disqualified","-30 L","0","","1:36.853","1:32.723","19","87","25","56","0","0","","","","","","","","","VRS GT Endurance Series","100","0","56"
"30","72","Mercedes AMG GT3","59","GT3 Class","-124965","66460","Alberto Gandia Modol","34","92","29","Disqualified","-","0","","1:35.772","1:33.089","50","44","4","56","0","4","38","Iberia","1624","1623","14","266","15","359","VRS GT Endurance Series","100","0","56"
"30","72","Mercedes AMG GT3","59","GT3 Class","-124965","365563","Fernando Alcolea","34","92","29","Disqualified","-","0","","1:37.934","1:32.723","19","43","21","56","0","3","38","Iberia","1928","1928","17","138","17","143","VRS GT Endurance Series","100","0","56"
"31","73","Audi R8 LMS","59","GT3 Class","-128790","-128790","Glück Auf SimRacing #Green","43","18","29","Disqualified","-40 L","0","","1:33.193","1:31.587","49","77","25","52","0","0","","","","","","","","","VRS GT Endurance Series","100","0","52"
"31","73","Audi R8 LMS","59","GT3 Class","-128790","221610","Yannick Sägemeister","43","18","29","Disqualified","-","0","","1:34.009","1:32.337","21","39","11","52","0","3","42","DE-AT-CH","2041","2026","13","149","13","190","VRS GT Endurance Series","100","0","52"
"31","73","Audi R8 LMS","59","GT3 Class","-128790","351566","Sven Bebber","43","18","29","Disqualified","-","0","","1:32.331","1:31.587","49","38","14","52","0","2","42","DE-AT-CH","3124","3110","13","122","13","164","VRS GT Endurance Series","100","0","52"
"32","73","Audi R8 LMS","59","GT3 Class","-84739","-84739","Mücke Motorsport Simracing #Red","9","27","32","Disconnected","-41 L","2","","1:31.742","1:31.075","45","76","11","48","0","0","","","","","","","","","VRS GT Endurance Series","100","0","48"
"32","73","Audi R8 LMS","59","GT3 Class","-84739","274864","Klaus Guger","9","27","32","Disconnected","-","2","","1:31.738","1:31.075","45","46","8","48","0","2","42","DE-AT-CH","3261","3222","20","499","20","499","VRS GT Endurance Series","100","0","48"
